City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
218,Richards Bay,-28.783,32.0377,71.82,83,100,6.02,overcast clouds,ZA,2022-01-30 18:38:38
219,Cherskiy,68.75,161.3,-24.81,98,100,4.03,overcast clouds,RU,2022-01-30 18:42:07
220,Filadelfia,39.9523,-75.1638,27.55,41,20,5.99,snow,US,2022-01-30 18:42:07
221,Severo-Kurilsk,50.6789,156.125,26.35,92,100,13.94,light snow,RU,2022-01-30 18:40:41
222,Leshukonskoye,64.8989,45.7622,10.17,95,100,6.51,overcast clouds,RU,2022-01-30 18:42:07
223,Serenje,-13.2325,30.2352,60.53,98,100,2.46,overcast clouds,ZM,2022-01-30 18:42:08
224,Lumeje,-11.55,20.7833,67.1,82,98,5.32,overcast clouds,AO,2022-01-30 18:42:08
225,Hobyo,5.3505,48.5268,77.23,76,93,17.02,overcast clouds,SO,2022-01-30 18:39:29
226,Broome,42.2506,-75.833,21.88,62,100,3.0,overcast clouds,US,2022-01-30 18:42:08
227,Prince Rupert,54.3161,-130.3201,38.89,93,100,6.91,overcast clouds,CA,2022-01-30 18:42:09
228,Chaman,30.9236,66.4512,49.64,52,87,3.0,overcast clouds,PK,2022-01-30 18:42:09
229,Harper,4.375,-7.7169,80.6,82,58,7.61,broken clouds,LR,2022-01-30 18:42:09
230,Yaan,7.3833,8.5667,83.48,12,100,6.33,overcast clouds,NG,2022-01-30 18:42:10
231,Chino Valley,34.7575,-112.4538,56.43,40,40,4.0,scattered clouds,US,2022-01-30 18:42:10
232,Mackenzie,55.2999,-123.1698,34.02,86,100,13.8,overcast clouds,CA,2022-01-30 18:43:10
233,Tapejara,-28.0681,-52.0139,72.52,78,74,5.08,broken clouds,BR,2022-01-30 18:43:11
234,Coffs Harbour,-30.3,153.1333,72.14,96,100,6.91,overcast clouds,AU,2022-01-30 18:43:11
235,Mackay,-21.15,149.2,78.78,89,100,11.5,overcast clouds,AU,2022-01-30 18:43:11
236,Georgetown,5.4112,100.3354,82.89,90,20,0.0,few clouds,MY,2022-01-30 18:43:11
237,Victoria,22.2855,114.1577,59.32,75,83,1.99,broken clouds,HK,2022-01-30 18:42:08
238,Tongliao,43.6125,122.2653,-7.31,100,39,1.25,scattered clouds,CN,2022-01-30 18:43:12
